id,brand,model,type,availability,link,image_link
MX1213-yamaha-yz-125-2023,Yamaha,YZ 125,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX1213-yamaha-yz-125-2023,https://images.ctfassets.net/8zlbnewncp6f/27M4tNeYtlibTHKNns73qE/1ec54b291cd082ff2ee09b1ab92c5b72/Yamaha_YZ_125.png
MX2662-jiajue-cross-cargo-175,Jiajue,Cross Cargo 175,Motoneta,in stock,https://www.galgo.com/MX/motos/MX2662-jiajue-cross-cargo-175,https://images.ctfassets.net/8zlbnewncp6f/3pnqDk7zbPTTJN4OmRjksA/06e2f151da599630905b9774aec56ce8/Imagen_principal__21_.png
MX1315-italika-rt200,Italika,RT200,Deportiva,out of stock,https://www.galgo.com/MX/motos/MX1315-italika-rt200,https://images.ctfassets.net/8zlbnewncp6f/538pZxgJYA6X2N3GSQOrk0/c8df8e973ce029e69ae67fed38e56f00/Moto_Italika_RT200_Galgo_M_xico.jpg
MX646-vento-rapid-125,Vento,Rapid 125,Motoneta,in stock,https://www.galgo.com/MX/motos/MX646-vento-rapid-125,https://images.ctfassets.net/8zlbnewncp6f/3obYC8lzvy7jP8Ndl2jsJR/0711ea0992c50a8de64cf2918b0ae281/Vento_Rapid_125_-_Galgo_M__xico_Principal.jpg
MX3155-moto-avanzada-skyjet-180,Moto Avanzada,Skyjet 180,Motoneta,in stock,https://www.galgo.com/MX/motos/MX3155-moto-avanzada-skyjet-180,https://images.ctfassets.net/8zlbnewncp6f/3FibKvsxJ0ghGV1r49nqXf/7b54fb071d5b836c998682a8272ad9d6/Moto_Avanzada_Skyjet_180_Imagen_principal_Galgo.png
MX442-vento-workman-250,Vento,Workman 250,Trabajo,in stock,https://www.galgo.com/MX/motos/MX442-vento-workman-250,https://images.ctfassets.net/8zlbnewncp6f/54AW7pD1HyyVaWdXOnKgLv/bc0ab083c396b427d859d37f64a0d0ba/Vento-Workman-250__1_.jpg
MX643-vento-cyclone-210,Vento,Cyclone 210,Naked,in stock,https://www.galgo.com/MX/motos/MX643-vento-cyclone-210,https://images.ctfassets.net/8zlbnewncp6f/2kdQxprf34KdswYNJXAAgR/3b9b445a0cbc32a4ada9029cf251fca8/Vento_Cyclone_210_2025_Imagen_principal_Galgo_M_xico.jpg
MX3140-italika-at130-rt,Italika,AT130 RT,Semiautomática,in stock,https://www.galgo.com/MX/motos/MX3140-italika-at130-rt,https://images.ctfassets.net/8zlbnewncp6f/2J28Ezz5slvqmgbckcoGGQ/8d7f10706975426552b163f6d6739bb5/Italika_AT_130_RT_Imagen_principal_Galgo.png
MX414-vento-hyper-280,Vento,Hyper 280,Naked,in stock,https://www.galgo.com/MX/motos/MX414-vento-hyper-280,https://images.ctfassets.net/8zlbnewncp6f/37hjNEANlr9AL4KxFBAQYy/422c3ede0259380d1ae395026bdf88c3/Vento_Hyper_280.jpg
MX880-cf-moto-250-nk,CF Moto,250NK FUN,Naked,in stock,https://www.galgo.com/MX/motos/MX880-cf-moto-250-nk,https://images.ctfassets.net/8zlbnewncp6f/pC8tPraqMTZWtjvRQU9AV/9c639c932f1a98825d07bd057c48eefa/CFMOTO_250_NK_Fun_Imagen_principal_Galgo_Mexico.png
